"id","order","label","name","description","type","questionaireID","groupID","created_at","updated_at"
283,5,5.,"มักจะอาละวาดหรือโมโหร้าย","",0,37,15,"2016-05-23 16:11:21","2016-08-13 08:13:49"
284,6,6.,"ค่อนข้างแยกตัว ชอบเล่นคนเดียว","",0,37,17,"2016-05-23 16:11:21","2016-08-13 08:13:49"
285,7,7.,"เชื่อฟัง มักจะทำตามที่ผู้ใหญ่ต้องการ","",0,37,15,"2016-05-23 16:11:21","2016-08-13 08:13:49"
286,8,8.,"กังวลใจหลยเรื่อง ดูวิตกกังวลเสมอ","",0,37,13,"2016-05-23 16:11:21","2016-08-13 08:13:49"
287,9,9.,"เป็นที่พึ่งได้เวลาคนอื่นเสียใจ อารมณ์ไม่ดี หรือไม่สบายใจ","",0,37,18,"2016-05-23 16:11:21","2016-08-13 08:13:49"
288,10,10.,"อยู่ไม่สุข วุ่นวายอย่างมาก","",0,37,16,"2016-05-23 16:11:21","2016-08-13 08:13:49"
289,11,11.,"มีเพื่อนสนิท","",0,37,17,"2016-05-23 16:11:21","2016-08-13 08:13:49"
290,12,12.,"มักมีเรื่องทะเลาะวิวาทกับเด็กคนอื่น หรือรังแกเด็กคนอื่น","",0,37,15,"2016-05-23 16:11:21","2016-08-13 08:13:49"
291,13,13.,"ดูไม่มีความสุข ท้อแท้ หรือร้องไห้บ่อย","",0,37,13,"2016-05-23 16:11:21","2016-08-13 08:13:49"
292,14,14.,"เป็นที่ชื่นขอบของเพื่อน","",0,37,17,"2016-05-23 16:11:21","2016-08-13 08:13:49"
293,15,15.,"วอกแวกง่าย สมาธิสั้น","",0,37,16,"2016-05-23 16:11:21","2016-08-13 08:13:49"
294,16,16.,"เครียดไม่ยอมห่างเวลาอยู่ในสถานการณ์ที่ไม่คุ้น และขาดความเชื่อมั่นใจตนเอง","",0,37,13,"2016-05-23 16:11:21","2016-08-13 08:13:49"
295,17,17.,"ใจดีกับเด็กที่เล็กกว่า","",0,37,18,"2016-05-23 16:11:21","2016-08-13 08:13:49"
296,18,18.,"ขอบโกหกหรือขี้โกง","",0,37,15,"2016-05-23 16:11:21","2016-08-13 08:13:49"
297,19,19.,"ถูกเด็กคนอื่นล้อเลียนหรือรังแก","",0,37,17,"2016-05-23 16:11:21","2016-08-13 08:13:49"
298,20,20.,"ชอบอาสาช่วยเหลือคนอื่น (พ่อแม่, ครู, เด็กคนอื่น)","",0,37,18,"2016-05-23 16:11:21","2016-08-13 08:13:49"
299,21,21.,"คิดก่อนทำ","",0,37,16,"2016-05-23 16:11:21","2016-08-13 08:13:49"
300,22,22.,"ขโมยของที่บ้าน ที่โรงเรียน หรือที่อื่น","",0,37,15,"2016-05-23 16:11:21","2016-08-13 08:13:49"
301,23,23.,"เข้ากับผู้ใหญ่ได้ดีกว่าเด็กวัยเดียวกัน","",0,37,17,"2016-05-23 16:11:21","2016-08-13 08:13:49"
302,24,24.,"ขี้กลัว รู้สึกหวาดกลัวได้ง่าย","",0,37,13,"2016-05-23 16:11:21","2016-08-13 08:13:49"
303,25,25.,"ทำงานได้จนสำเร็จ มีความตั้งใจในการทำงาน","",0,37,16,"2016-05-23 16:11:21","2016-08-13 08:13:50"
304,26,"","คุณมีความเห็นหรือความกังวลอื่นอีกหรือไม่","",1,37,NULL,"2016-05-23 16:41:44","2016-08-13 08:18:56"
305,27,"","โดยรวมคุณคิดว่าเด็กมีปัญหาในด้านใดด้านหนึ่งต่อไปนี้หรือไม่ ด้านอารมณ์ ด้านสมาธิ ด้านพฤติกรรม หรือความสามารถเข้ากับผู้อื่น","",10,37,NULL,"2016-05-23 17:30:19","2016-08-13 08:18:56"
306,28,"","ถ้าตอบว่า ``ไม่`` ไม่ต้องตอบคำถามข้อต่อไป","",2,37,NULL,"2016-05-23 17:30:19","2016-05-23 17:30:19"
307,29,"","ถ้าตอบว่า ``ใช่`` กรุณาตอบคำถามข้อต่อไปนี้","",2,37,NULL,"2016-05-23 17:30:19","2016-05-23 17:30:19"
308,30,"","ปัญหานี้เกิดขึ้นมานานเท่าไหร่แล้ว","",3,37,NULL,"2016-05-23 17:30:19","2016-05-23 17:36:44"
309,31,"","ปัญหานี้ทำให้เด็กรู้สึกไม่สบายใจหรือไม่","",10,37,NULL,"2016-05-23 17:36:44","2016-08-13 08:18:56"
310,32,"","ปัญหานี้รบกวนชีวิตประจำวันของเด็กในด้านต่างๆ ต่อไปนี้หรือไม่","",4,37,NULL,"2016-05-23 17:36:44","2016-08-13 08:18:56"
311,33,"","ปัญหานี้ทำให้คุณหรือครอบครัวเกิดความยุ่งยากหรือไม่","",10,37,NULL,"2016-05-23 17:42:12","2016-08-13 08:18:56"
